year,cty,spend_waiver,s_source,s_target,s_time,lim5_5,rev_change,sales,sales_change,property,prop_change,prop_levy_change,debt,debt_change,target,rev_time,results,pass,st_open,st_no waiver,st_infrastructure,st_public safety,st_environment,st_education,st_unspecified,st_hss,st_debt,st_economic development,st_tourism,ss_open,ss_no waiver,ss_sales,ss_property,ss_nontax,ss_value,ss_transfer,ss_nonproperty,ss_tourism,ss_unknown,ss_library,ss_gaming,ss_development,rt_infrastructure,rt_public safety,rt_hss,rt_environment,rt_unspecified,rt_education,rt_open,rt_tourism,rt_administrative,rt_economic development,rt_agriculture,rt_debt,rt_unknown,rt_limited,rt_choice
2001,Mineral,0,no waiver,no waiver,0.0,0,0,1,2.0,0,0.0,0.0,0,0.0,unspecified,99.0,59.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2007,Mineral,1,open,open,99.0,0,1,1,1.0,0,0.0,0.0,0,0.0,public safety,5.0,48.6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Mineral,1,open,open,99.0,1,1,1,0.05,0,0.0,0.0,0,0.0,hss,99.0,46.3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1996,Moffat,1,open,open,99.0,0,0,0,0.0,0,0.0,0.0,0,0.0,,99.0,62.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,Moffat,1,property,open,5.0,1,1,0,0.0,0,0.0,0.0,0,0.0,,99.0,51.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,Moffat,1,open,open,99.0,1,1,0,0.0,1,1.0,0.0,0,0.0,hss,99.0,54.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2007,Moffat,1,open,open,99.0,1,1,0,0.0,1,3.0,0.0,0,0.0,hss,39.0,56.7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1994,Montezuma,0,no waiver,no waiver,0.0,0,0,1,1.0,0,0.0,0.0,0,0.0,infrastructure,99.0,33.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Montezuma,1,open,open,99.0,1,1,1,1.0,0,0.0,0.0,0,0.0,,99.0,35.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,Montezuma,0,no waiver,no waiver,0.0,0,1,1,0.45,0,0.0,0.0,1,6260000.0,public safety,99.0,58.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Montezuma,1,open,open,99.0,1,1,0,0.0,0,0.0,0.0,0,0.0,,99.0,51.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,Montezuma,1,open,open,99.0,0,1,1,0.551,0,0.0,0.0,0,0.0,infrastructure,99.0,44.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,Montezuma,1,open,open,99.0,0,1,1,0.5,0,0.0,0.0,0,0.0,infrastructure,5.0,40.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,Montezuma,1,open,open,99.0,0,1,1,0.5,0,0.0,0.0,0,0.0,infrastructure,5.0,30.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Montezuma,1,open,open,99.0,1,1,0,0.0,1,1.45,0.0,0,0.0,public safety,99.0,55.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,Montrose,0,no waiver,no waiver,0.0,0,0,0,0.0,0,0.0,0.0,1,12000000.0,public safety,99.0,56.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Montrose,1,open,open,99.0,0,0,0,0.0,0,0.0,0.0,0,0.0,,99.0,35.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,Montrose,1,transfer,open,99.0,0,0,0,0.0,0,0.0,0.0,0,0.0,,99.0,49.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,Montrose,1,open,open,99.0,0,0,0,0.0,0,0.0,0.0,0,0.0,,99.0,41.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Montrose,1,nonproperty,open,99.0,0,1,0,0.0,0,0.0,0.0,0,0.0,,99.0,49.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Montrose,0,no waiver,no waiver,0.0,1,1,1,0.0,0,0.0,0.0,0,0.0,public safety/infrastructure,99.0,38.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,Montrose,1,open,open,99.0,0,1,1,1.0,0,0.0,0.0,0,0.0,public safety/infrastructure,10.0,43.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,Montrose,0,no waiver,no waiver,0.0,1,1,1,0.75,0,0.0,0.0,0,0.0,public safety,10.0,60.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,Montrose,0,no waiver,no waiver,0.0,1,1,1,0.25,0,0.0,0.0,0,0.0,infrastructure,10.0,61.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,Montrose,1,nonproperty,public safety/infrastructure/hss,99.0,0,1,0,0.0,0,0.0,0.0,0,0.0,,99.0,71.0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Montrose,1,open,open,99.0,0,1,1,1.0,0,0.0,0.0,0,0.0,infrastructure,99.0,58.4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Montrose,1,open,open,99.0,0,1,1,0.75,0,0.0,0.0,0,0.0,public safety,99.0,56.7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Morgan,1,open,open,99.0,0,0,0,0.0,0,0.0,0.0,0,0.0,,99.0,60.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,Morgan,1,open,open,99.0,0,1,1,1.0,0,0.0,0.0,1,8000000.0,hss,99.0,22.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2004,Morgan,0,no waiver,no waiver,0.0,0,0,1,0.013,0,0.0,0.0,0,0.0,economic development,10.0,40.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1995,Otero,1,open,open,99.0,0,0,0,0.0,0,0.0,0.0,0,0.0,,99.0,67.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Otero,0,no waiver,no waiver,0.0,0,0,0,0.0,1,1.5,0.0,0,0.0,environment,30.0,67.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1994,Ouray,1,sales,open,99.0,0,0,0,0.0,0,0.0,0.0,0,0.0,,99.0,74.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Ouray,0,no waiver,no waiver,0.0,0,1,1,3.0,0,0.0,0.0,0,0.0,infrastructure,99.0,25.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Ouray,0,no waiver,no waiver,0.0,0,1,1,3.0,0,0.0,0.0,0,0.0,hss,99.0,35.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1997,Ouray,1,open,open,99.0,0,1,0,0.0,0,0.0,0.0,0,0.0,,99.0,72.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Ouray,0,no waiver,no waiver,0.0,0,0,0,0.0,1,1.0,0.0,0,0.0,hss,10.0,62.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000,Ouray,1,open,open,99.0,0,1,0,0.0,0,0.0,0.0,0,0.0,,99.0,63.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Ouray,1,open,hss,99.0,0,0,0,0.0,0,0.0,0.0,1,0.0,,99.0,66.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Ouray,1,open,open,99.0,1,1,0,0.0,0,0.0,0.0,0,0.0,,99.0,54.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Ouray,1,open,open,99.0,1,1,1,1.0,0,0.0,0.0,0,0.0,environment,11.0,48.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2004,Ouray,1,open,open,99.0,1,1,0,0.0,1,2.0,0.0,0,0.0,public safety,99.0,62.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Ouray,1,open,open,99.0,0,1,1,3.0,0,0.0,0.0,0,0.0,infrastructure,99.0,46.1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Ouray,1,open,open,99.0,0,1,0,0.0,0,0.0,0.0,1,0.0,infrastructure,99.0,42.1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Ouray,1,open,open,99.0,1,1,1,1.0,0,0.0,0.0,0,0.0,infrastructure,99.0,51.2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,Ouray,1,open,open,99.0,0,1,1,0.75,0,0.0,0.0,0,0.0,hss,10.0,41.25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1993,Park,1,nontax,open,99.0,0,0,0,0.0,0,0.0,0.0,0,0.0,,99.0,40.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,Park,0,no waiver,no waiver,0.0,0,0,0,0.0,1,0.5,0.0,0,0.0,administrative,99.0,15.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1994,Park,1,open,open,99.0,0,0,1,0.0,0,0.0,0.0,0,0.0,,99.0,27.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Park,1,open,open,99.0,0,0,1,1.0,0,0.0,0.0,0,0.0,infrastructure,10.0,49.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Park,1,nontax,open,99.0,1,0,0,0.0,0,0.0,0.0,0,0.0,,99.0,65.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Park,1,open,open,99.0,0,0,0,0.0,0,0.0,0.0,0,0.0,,99.0,61.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Park,1,open,open,99.0,0,0,1,1.0,0,0.0,0.0,0,0.0,infrastructure,10.0,40.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Park,1,open,open,99.0,0,1,0,0.0,0,0.0,0.0,1,4500000.0,public safety,99.0,56.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Park,1,property/value,open,99.0,1,0,0,0.0,0,0.0,0.0,0,0.0,,99.0,45.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,Park,1,open,open,99.0,1,0,1,1.0,0,0.0,0.0,0,0.0,environment,11.0,71.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1998,Park,1,open,open,99.0,0,0,0,0.0,0,0.0,0.0,0,0.0,,99.0,57.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,Park,1,transfer,open,99.0,0,0,0,0.0,0,0.0,0.0,0,0.0,,99.0,54.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,Park,0,no waiver,no waiver,0.0,0,0,1,1.0,0,0.0,0.0,0,0.0,administrative,99.0,43.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2000,Park,1,open,open,99.0,0,1,1,1.0,0,0.0,0.0,0,0.0,administrative/environment,99.0,44.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2001,Park,1,open,open,99.0,0,0,1,1.0,0,0.0,0.0,0,0.0,administrative/infrastructure,99.0,35.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2001,Park,0,no waiver,no waiver,0.0,0,1,0,0.0,1,0.25,0.0,0,0.0,environment,99.0,34.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2002,Park,1,open,open,99.0,1,1,0,0.0,0,0.0,0.0,0,0.0,,99.0,41.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Park,0,no waiver,no waiver,0.0,1,1,0,0.0,1,1.0,0.0,0,0.0,hss,99.0,34.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2003,Park,1,nontax,open,99.0,1,1,0,0.0,0,0.0,0.0,0,0.0,,99.0,34.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Park,1,nontax,open,99.0,1,1,0,0.0,0,0.0,0.0,0,0.0,,99.0,36.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,Park,1,property,open,5.0,0,1,1,1.0,0,0.0,0.0,0,0.0,,99.0,51.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,Park,1,open,open,99.0,0,1,0,0.0,0,0.0,0.0,0,0.0,,99.0,61.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,Park,1,open,open,99.0,0,1,1,1.0,0,0.0,0.0,0,0.0,environment,10.0,82.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2007,Park,1,open,open,99.0,0,1,1,2.5,0,0.0,0.0,0,0.0,infrastructure,20.0,40.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Park,1,open,open,99.0,0,1,1,4.0,0,0.0,0.0,0,0.0,hss,99.0,62.88,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,Park,1,open,open,99.0,0,1,0,0.0,1,0.9,0.0,0,0.0,education,99.0,20.03,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1995,Phillips,1,open,open,99.0,0,0,0,0.0,0,0.0,0.0,0,0.0,,99.0,74.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,Phillips,1,open,open,99.0,0,0,1,1.0,0,0.0,0.0,0,0.0,infrastructure/open,99.0,35.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1998,Phillips,1,open,open,99.0,0,0,1,1.0,0,0.0,0.0,0,0.0,infrastructure/open,99.0,57.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2005,Phillips,0,no waiver,no waiver,0.0,0,0,1,0.0,0,0.0,0.0,0,0.0,unspecified,99.0,69.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1993,Pitkin,1,sales,open,99.0,0,1,0,0.0,0,0.0,0.0,0,0.0,,99.0,67.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,Pitkin,0,no waiver,no waiver,0.0,0,0,0,0.0,1,0.0,151000.0,0,0.0,unspecified,1.0,29.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1993,Pitkin,0,no waiver,no waiver,0.0,0,0,1,0.5,0,0.0,0.0,0,0.0,infrastructure,99.0,50.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,Pitkin,0,no waiver,no waiver,0.0,0,0,0,0.0,0,0.0,0.0,1,0.0,hss,99.0,46.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1993,Pitkin,0,no waiver,no waiver,0.0,0,0,0,0.0,0,0.0,0.0,1,0.0,infrastructure,99.0,51.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,Pitkin,1,value,open,1.0,0,0,0,0.0,0,0.0,0.0,0,0.0,,99.0,73.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,Pitkin,1,open,open,99.0,0,0,0,0.0,0,0.0,0.0,0,0.0,,99.0,67.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,Pitkin,0,no waiver,no waiver,0.0,0,0,0,0.0,0,0.0,0.0,1,0.0,infrastructure,99.0,42.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,Pitkin,0,no waiver,no waiver,0.0,0,0,0,0.0,0,0.0,0.0,1,0.0,infrastructure,99.0,39.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Pitkin,1,open,open,99.0,0,1,0,0.0,1,0.91,0.0,0,0.0,infrastructure,99.0,62.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Pitkin,0,no waiver,no waiver,0.0,0,0,0,0.0,0,0.0,0.0,1,2900000.0,infrastructure,99.0,40.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Pitkin,1,open,open,99.0,1,1,0,0.0,1,2.5,0.0,0,0.0,environment,99.0,58.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1996,Pitkin,1,open,open,99.0,0,0,0,0.0,1,0.84,0.0,0,0.0,infrastructure,10.0,37.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Pitkin,0,no waiver,no waiver,0.0,0,0,1,3.0,0,0.0,0.0,0,0.0,infrastructure,20.0,49.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,Pitkin,0,no waiver,no waiver,0.0,0,0,0,0.0,1,1.38,0.0,0,0.0,open,99.0,45.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1999,Pitkin,0,no waiver,no waiver,0.0,0,1,0,0.0,1,1.25,0.0,1,12000000.0,environment,10.0,69.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,Pitkin,0,no waiver,no waiver,0.0,0,1,0,0.0,0,0.0,0.0,1,10200000.0,infrastructure,99.0,64.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Pitkin,1,open,open,99.0,1,0,0,0.0,0,0.0,0.0,0,0.0,hss,5.0,70.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2006,Pitkin,1,open,open,99.0,1,1,0,0.0,1,0.0,1250000.0,0,0.0,hss,99.0,70.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
